Date,FinancialYear,GAG Period,GAG Year & Period,ID
2004-07-04 00:00:00,04-05,01,FY 04-05- P01,1
2004-07-05 00:00:00,04-05,01,FY 04-05- P01,2
2004-07-06 00:00:00,04-05,01,FY 04-05- P01,3
2004-07-07 00:00:00,04-05,01,FY 04-05- P01,4
2004-07-08 00:00:00,04-05,01,FY 04-05- P01,5
2004-07-09 00:00:00,04-05,01,FY 04-05- P01,6
2004-07-10 00:00:00,04-05,01,FY 04-05- P01,7
2004-07-11 00:00:00,04-05,01,FY 04-05- P01,8
2004-07-12 00:00:00,04-05,01,FY 04-05- P01,9
2004-07-13 00:00:00,04-05,01,FY 04-05- P01,10
2004-07-14 00:00:00,04-05,01,FY 04-05- P01,11
2004-07-15 00:00:00,04-05,01,FY 04-05- P01,12
2004-07-16 00:00:00,04-05,01,FY 04-05- P01,13
2004-07-17 00:00:00,04-05,01,FY 04-05- P01,14
2004-07-18 00:00:00,04-05,01,FY 04-05- P01,15
2004-07-19 00:00:00,04-05,01,FY 04-05- P01,16
2004-07-20 00:00:00,04-05,01,FY 04-05- P01,17
2004-07-21 00:00:00,04-05,01,FY 04-05- P01,18
2004-07-22 00:00:00,04-05,01,FY 04-05- P01,19
2004-07-23 00:00:00,04-05,01,FY 04-05- P01,20
2004-07-24 00:00:00,04-05,01,FY 04-05- P01,21
2004-07-25 00:00:00,04-05,02,FY 04-05- P02,22
2004-07-26 00:00:00,04-05,02,FY 04-05- P02,23
2004-07-27 00:00:00,04-05,02,FY 04-05- P02,24
2004-07-28 00:00:00,04-05,02,FY 04-05- P02,25
2004-07-29 00:00:00,04-05,02,FY 04-05- P02,26
2004-07-30 00:00:00,04-05,02,FY 04-05- P02,27
2004-07-31 00:00:00,04-05,02,FY 04-05- P02,28
2004-08-01 00:00:00,04-05,02,FY 04-05- P02,29
2004-08-02 00:00:00,04-05,02,FY 04-05- P02,30
2004-08-03 00:00:00,04-05,02,FY 04-05- P02,31
2004-08-04 00:00:00,04-05,02,FY 04-05- P02,32
2004-08-05 00:00:00,04-05,02,FY 04-05- P02,33
2004-08-06 00:00:00,04-05,02,FY 04-05- P02,34
2004-08-07 00:00:00,04-05,02,FY 04-05- P02,35
2004-08-08 00:00:00,04-05,02,FY 04-05- P02,36
2004-08-09 00:00:00,04-05,02,FY 04-05- P02,37
2004-08-10 00:00:00,04-05,02,FY 04-05- P02,38
2004-08-11 00:00:00,04-05,02,FY 04-05- P02,39
2004-08-12 00:00:00,04-05,02,FY 04-05- P02,40
2004-08-13 00:00:00,04-05,02,FY 04-05- P02,41
2004-08-14 00:00:00,04-05,02,FY 04-05- P02,42
2004-08-15 00:00:00,04-05,02,FY 04-05- P02,43
2004-08-16 00:00:00,04-05,02,FY 04-05- P02,44
2004-08-17 00:00:00,04-05,02,FY 04-05- P02,45
2004-08-18 00:00:00,04-05,02,FY 04-05- P02,46
2004-08-19 00:00:00,04-05,02,FY 04-05- P02,47
2004-08-20 00:00:00,04-05,02,FY 04-05- P02,48
2004-08-21 00:00:00,04-05,02,FY 04-05- P02,49
2004-08-22 00:00:00,04-05,03,FY 04-05- P03,50
2004-08-23 00:00:00,04-05,03,FY 04-05- P03,51
2004-08-24 00:00:00,04-05,03,FY 04-05- P03,52
2004-08-25 00:00:00,04-05,03,FY 04-05- P03,53
2004-08-26 00:00:00,04-05,03,FY 04-05- P03,54
2004-08-27 00:00:00,04-05,03,FY 04-05- P03,55
2004-08-28 00:00:00,04-05,03,FY 04-05- P03,56
2004-08-29 00:00:00,04-05,03,FY 04-05- P03,57
2004-08-30 00:00:00,04-05,03,FY 04-05- P03,58
2004-08-31 00:00:00,04-05,03,FY 04-05- P03,59
2004-09-01 00:00:00,04-05,03,FY 04-05- P03,60
2004-09-02 00:00:00,04-05,03,FY 04-05- P03,61
2004-09-03 00:00:00,04-05,03,FY 04-05- P03,62
2004-09-04 00:00:00,04-05,03,FY 04-05- P03,63
2004-09-05 00:00:00,04-05,03,FY 04-05- P03,64
2004-09-06 00:00:00,04-05,03,FY 04-05- P03,65
2004-09-07 00:00:00,04-05,03,FY 04-05- P03,66
2004-09-08 00:00:00,04-05,03,FY 04-05- P03,67
2004-09-09 00:00:00,04-05,03,FY 04-05- P03,68
2004-09-10 00:00:00,04-05,03,FY 04-05- P03,69
2004-09-11 00:00:00,04-05,03,FY 04-05- P03,70
2004-09-12 00:00:00,04-05,03,FY 04-05- P03,71
2004-09-13 00:00:00,04-05,03,FY 04-05- P03,72
2004-09-14 00:00:00,04-05,03,FY 04-05- P03,73
2004-09-15 00:00:00,04-05,03,FY 04-05- P03,74
2004-09-16 00:00:00,04-05,03,FY 04-05- P03,75
2004-09-17 00:00:00,04-05,03,FY 04-05- P03,76
2004-09-18 00:00:00,04-05,03,FY 04-05- P03,77
2004-09-19 00:00:00,04-05,04,FY 04-05- P04,78
2004-09-20 00:00:00,04-05,04,FY 04-05- P04,79
2004-09-21 00:00:00,04-05,04,FY 04-05- P04,80
2004-09-22 00:00:00,04-05,04,FY 04-05- P04,81
2004-09-23 00:00:00,04-05,04,FY 04-05- P04,82
2004-09-24 00:00:00,04-05,04,FY 04-05- P04,83
2004-09-25 00:00:00,04-05,04,FY 04-05- P04,84
2004-09-26 00:00:00,04-05,04,FY 04-05- P04,85
2004-09-27 00:00:00,04-05,04,FY 04-05- P04,86
2004-09-28 00:00:00,04-05,04,FY 04-05- P04,87
2004-09-29 00:00:00,04-05,04,FY 04-05- P04,88
2004-09-30 00:00:00,04-05,04,FY 04-05- P04,89
2004-10-01 00:00:00,04-05,04,FY 04-05- P04,90
2004-10-02 00:00:00,04-05,04,FY 04-05- P04,91
2004-10-03 00:00:00,04-05,04,FY 04-05- P04,92
2004-10-04 00:00:00,04-05,04,FY 04-05- P04,93
2004-10-05 00:00:00,04-05,04,FY 04-05- P04,94
2004-10-06 00:00:00,04-05,04,FY 04-05- P04,95
